Tau,Measure,CLasso,CoCoLasso,ACoCoLasso,RFACoCoLasso
tau = 0.75,,,,,
,C,2.83 (0.40),2.76 (0.47),2.68 (0.51),2.02 (0.68)
,IC,41.50 (4.96),14.94 (3.60),20.37 (3.60),3.59 (1.62)
,PE,4.57 (1.03),4.30 (1.28),6.50 (2.13),4.92 (1.83)
,MSE,9.08 (2.07),7.02 (2.29),12.89 (4.32),6.83 (3.18)
tau = 1.25,,,,,
,C,2.62 (0.55),2.22 (0.75),2.06 (0.75),1.31 (0.80)
,IC,53.38 (6.01),19.53 (3.45),14.39 (2.90),5.98 (1.87)
,PE,7.15 (0.98),7.21 (1.58),7.20 (2.26),9.48 (2.50)
,MSE,12.58 (1.57),11.13 (2.36),13.23 (3.98),11.87 (3.65)
