Tau,Measure,CLasso,CoCoLasso,ACoCoLasso,CoCoElasticNet
tau = 0.75,,,,,
,C,3.00 (0.00),2.99 (0.10),2.93 (0.26),1.94 (1.32)
,IC,13.58 (4.04),11.98 (3.63),0.32 (0.62),105.66 (78.57)
,PE,5.71 (1.14),3.36 (1.11),1.42 (1.12),1256.14 (2257.96)
,MSE,4.75 (1.11),3.32 (1.30),1.90 (1.61),382.58 (699.06)
tau = 1.25,,,,,
,C,3.00 (0.00),2.67 (0.55),2.59 (0.57),2.73 (0.84)
,IC,92.06 (8.43),1.32 (1.20),0.74 (0.77),177.85 (61.87)
,PE,10.03 (1.78),12.50 (2.43),5.49 (2.64),6131.21 (10069.61)
,MSE,10.96 (1.45),8.48 (2.03),4.95 (2.51),2112.89 (3381.92)
